"resume_id","candidate_label","source_method","source_method_cn","privacy_level","target_job_id","target_job_title","target_company_name","target_industry","target_location","match_level","match_level_cn","expected_match_score","education","experience_years","current_role","skills","target_skills_norm","matched_skills_seed","missing_skills_seed","projects","work_experience","resume_text","target_url","created_at"
"R0001","匿名候选人001","public_dataset_style","公开匿名数据集风格参考","anonymous_or_synthetic","40857992907","python自动化测试工程师（双休/福利好）","深圳市汇合发展有限公司","咨询服务","深圳 南山 科技园","high","高匹配","88.9","本科","4","python自动化测试工程师","Python; C/C++; Linux; Windows; Oracle; MySQL; SQLServer; 接口自动化测试; Git; SQL","Python; C/C++; Linux; Windows; Oracle; MySQL; SQLServer; 接口自动化测试; UI自动化测试","Python; C/C++; Linux; Windows; Oracle; MySQL; SQLServer; 接口自动化测试","UI自动化测试","[{""name"":""匿名项目A-python自动化测试工程师"",""role"":""核心成员"",""skills"":[""Python"",""C/C++"",""Linux"",""Windows""],""description"":""围绕目标岗位 python自动化测试工程师（双休/福利好） 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""C/C++"",""Linux"",""Windows"",""Oracle""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""python自动化测试工程师"",""years"":4,""description"":""负责与 咨询服务 相关的研发/测试/数据处理工作，主要使用 Python、C/C++、Linux、Windows、Oracle、MySQL、SQLServer、接口自动化测试、Git、SQL。""}","候选人编号：R0001。教育背景：本科。工作经验：4 年。目标岗位：python自动化测试工程师（双休/福利好）。核心技能：Python、C/C++、Linux、Windows、Oracle、MySQL、SQLServer、接口自动化测试、Git、SQL。项目经历：参与 python自动化测试工程师 相关项目，围绕 Python、C/C++、Linux、Windows、Oracle、MySQL、SQLServer、接口自动化测试、UI自动化测试 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CC160407910J40857992907.htm","2026-06-18T10:42:49Z"
"R0002","匿名候选人002","anonymous_template","人工匿名化样例","anonymous_or_synthetic","40735553916","算法工程师（大模型、机器学习/深度学习、Python）","软通动力信息技术(集团)股份有限公司","软件/IT服务","深圳 龙岗","medium","中匹配","71.4","本科","3","算法工程师","深度学习; 机器学习; 大模型算法; 运筹优化; 时间序列; SQL; Linux; Excel","深度学习; 机器学习; 大模型算法; 运筹优化; 时间序列; PYTHON算法; 大模型","深度学习; 机器学习; 大模型算法; 运筹优化; 时间序列","PYTHON算法; 大模型","[{""name"":""匿名项目A-算法工程师"",""role"":""核心成员"",""skills"":[""深度学习"",""机器学习"",""大模型算法"",""运筹优化""],""description"":""围绕目标岗位 算法工程师（大模型、机器学习/深度学习、Python） 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""机器学习"",""大模型算法"",""运筹优化"",""时间序列""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""算法工程师"",""years"":3,""description"":""负责与 软件/IT服务 相关的研发/测试/数据处理工作，主要使用 深度学习、机器学习、大模型算法、运筹优化、时间序列、SQL、Linux、Excel。""}","候选人编号：R0002。教育背景：本科。工作经验：3 年。目标岗位：算法工程师（大模型、机器学习/深度学习、Python）。核心技能：深度学习、机器学习、大模型算法、运筹优化、时间序列、SQL、Linux、Excel。项目经历：参与 算法工程师 相关项目，围绕 深度学习、机器学习、大模型算法、运筹优化、时间序列、PYTHON算法、大模型 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CC000544460J40735553916.htm","2026-06-18T10:42:49Z"
"R0003","匿名候选人003","jd_backfilled_synthetic","JD 反向合成","anonymous_or_synthetic","40933155415","python/c++开发工程师","深圳市凯瑞佳易科技有限公司","通信/网络设备","深圳 福田","low","低匹配","100","本科","2","python/c++开发工程师","本科; Linux; Excel; 需求分析; 文档编写","本科","本科","","[{""name"":""匿名项目A-python/c++开发工程师"",""role"":""核心成员"",""skills"":[""本科"",""Linux"",""Excel"",""需求分析""],""description"":""围绕目标岗位 python/c++开发工程师 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""Linux"",""Excel"",""需求分析"",""文档编写""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""python/c++开发工程师"",""years"":2,""description"":""负责与 通信/网络设备 相关的研发/测试/数据处理工作，主要使用 本科、Linux、Excel、需求分析、文档编写。""}","候选人编号：R0003。教育背景：本科。工作经验：2 年。目标岗位：python/c++开发工程师。核心技能：本科、Linux、Excel、需求分析、文档编写。项目经历：参与 python/c++开发工程师 相关项目，围绕 本科 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CCL1461615970J40933155415.htm","2026-06-18T10:42:49Z"
"R0004","匿名候选人004","public_dataset_style","公开匿名数据集风格参考","anonymous_or_synthetic","40874740405","感知算法测试验证工程师（数据采集、python）","外企德科数字技术有限公司","软件/IT服务","深圳 龙华","medium","中匹配","100","大专","3","感知算法测试验证工程师","Python; 数据采集; Excel; 需求分析","Python; 数据采集","Python; 数据采集","","[{""name"":""匿名项目A-感知算法测试验证工程师"",""role"":""核心成员"",""skills"":[""Python"",""数据采集"",""Excel"",""需求分析""],""description"":""围绕目标岗位 感知算法测试验证工程师（数据采集、python） 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""数据采集"",""Excel"",""需求分析""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""感知算法测试验证工程师"",""years"":3,""description"":""负责与 软件/IT服务 相关的研发/测试/数据处理工作，主要使用 Python、数据采集、Excel、需求分析。""}","候选人编号：R0004。教育背景：大专。工作经验：3 年。目标岗位：感知算法测试验证工程师（数据采集、python）。核心技能：Python、数据采集、Excel、需求分析。项目经历：参与 感知算法测试验证工程师 相关项目，围绕 Python、数据采集 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CCL1480117890J40874740405.htm","2026-06-18T10:42:49Z"
"R0005","匿名候选人005","anonymous_template","人工匿名化样例","anonymous_or_synthetic","40903521003","软件测试开发工程师（RF框架/Python自动化）","科锐尔人力资源服务(苏州)有限公司","人力资源","深圳 南山","high","高匹配","100","本科","4","软件测试开发工程师","Python; RobotFramework; 需求分析; 文档编写; 沟通协作","Python; RobotFramework","Python; RobotFramework","","[{""name"":""匿名项目A-软件测试开发工程师"",""role"":""核心成员"",""skills"":[""Python"",""RobotFramework"",""需求分析"",""文档编写""],""description"":""围绕目标岗位 软件测试开发工程师（RF框架/Python自动化） 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""RobotFramework"",""需求分析"",""文档编写"",""沟通协作""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""软件测试开发工程师"",""years"":4,""description"":""负责与 人力资源 相关的研发/测试/数据处理工作，主要使用 Python、RobotFramework、需求分析、文档编写、沟通协作。""}","候选人编号：R0005。教育背景：本科。工作经验：4 年。目标岗位：软件测试开发工程师（RF框架/Python自动化）。核心技能：Python、RobotFramework、需求分析、文档编写、沟通协作。项目经历：参与 软件测试开发工程师 相关项目，围绕 Python、RobotFramework 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CC453635220J40903521003.htm","2026-06-18T10:42:49Z"
"R0006","匿名候选人006","jd_backfilled_synthetic","JD 反向合成","anonymous_or_synthetic","40945011215","Python开发工程师","深圳市凯瑞佳易科技有限公司","通信/网络设备","深圳 龙岗","medium","中匹配","100","本科","1","Python开发工程师","本科; 文档编写; 沟通协作; 单元测试; 数据分析","本科","本科","","[{""name"":""匿名项目A-Python开发工程师"",""role"":""核心成员"",""skills"":[""本科"",""文档编写"",""沟通协作"",""单元测试""],""description"":""围绕目标岗位 Python开发工程师 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""文档编写"",""沟通协作"",""单元测试"",""数据分析""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""Python开发工程师"",""years"":1,""description"":""负责与 通信/网络设备 相关的研发/测试/数据处理工作，主要使用 本科、文档编写、沟通协作、单元测试、数据分析。""}","候选人编号：R0006。教育背景：本科。工作经验：1 年。目标岗位：Python开发工程师。核心技能：本科、文档编写、沟通协作、单元测试、数据分析。项目经历：参与 Python开发工程师 相关项目，围绕 本科 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CCL1461615970J40945011215.htm","2026-06-18T10:42:49Z"
"R0007","匿名候选人007","public_dataset_style","公开匿名数据集风格参考","anonymous_or_synthetic","40853602005","python开发【Java可投】","外企德科数字技术有限公司","软件/IT服务","深圳 龙华","low","低匹配","50","本科","1","python开发【Java可投】","Java; Python; 沟通协作; 单元测试","Java; Python; 蓝桥杯; 代码习惯好","Java; Python","蓝桥杯; 代码习惯好","[{""name"":""匿名项目A-python开发【Java可投】"",""role"":""核心成员"",""skills"":[""Java"",""Python"",""沟通协作"",""单元测试""],""description"":""围绕目标岗位 python开发【Java可投】 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""Python"",""沟通协作"",""单元测试""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""python开发【Java可投】"",""years"":1,""description"":""负责与 软件/IT服务 相关的研发/测试/数据处理工作，主要使用 Java、Python、沟通协作、单元测试。""}","候选人编号：R0007。教育背景：本科。工作经验：1 年。目标岗位：python开发【Java可投】。核心技能：Java、Python、沟通协作、单元测试。项目经历：参与 python开发【Java可投】 相关项目，围绕 Java、Python、蓝桥杯、代码习惯好 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CCL1480117890J40853602005.htm","2026-06-18T10:42:49Z"
"R0008","匿名候选人008","anonymous_template","人工匿名化样例","anonymous_or_synthetic","40491067716","Python开发","软通动力信息技术(集团)股份有限公司","软件/IT服务","深圳 龙岗","medium","中匹配","100","本科","1","Python开发","Django; Flask; 单元测试; 数据分析; 接口测试","Django; Flask","Django; Flask","","[{""name"":""匿名项目A-Python开发"",""role"":""核心成员"",""skills"":[""Django"",""Flask"",""单元测试"",""数据分析""],""description"":""围绕目标岗位 Python开发 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""Flask"",""单元测试"",""数据分析"",""接口测试""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""Python开发"",""years"":1,""description"":""负责与 软件/IT服务 相关的研发/测试/数据处理工作，主要使用 Django、Flask、单元测试、数据分析、接口测试。""}","候选人编号：R0008。教育背景：本科。工作经验：1 年。目标岗位：Python开发。核心技能：Django、Flask、单元测试、数据分析、接口测试。项目经历：参与 Python开发 相关项目，围绕 Django、Flask 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CC000544460J40491067716.htm","2026-06-18T10:42:49Z"
"R0009","匿名候选人009","jd_backfilled_synthetic","JD 反向合成","anonymous_or_synthetic","40895868812","python自动化测试","中软国际","软件/IT服务","深圳 龙岗","high","高匹配","100","本科","4","python自动化测试","Python; Java; 接口自动化测试; 持续集成与部署; 测试报告分析; 数据分析; 接口测试; 问题定位; 版本管理","Python; Java; 接口自动化测试; 持续集成与部署; 测试报告分析","Python; Java; 接口自动化测试; 持续集成与部署; 测试报告分析","","[{""name"":""匿名项目A-python自动化测试"",""role"":""核心成员"",""skills"":[""Python"",""Java"",""接口自动化测试"",""持续集成与部署""],""description"":""围绕目标岗位 python自动化测试 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""Java"",""接口自动化测试"",""持续集成与部署"",""测试报告分析""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""python自动化测试"",""years"":4,""description"":""负责与 软件/IT服务 相关的研发/测试/数据处理工作，主要使用 Python、Java、接口自动化测试、持续集成与部署、测试报告分析、数据分析、接口测试、问题定位、版本管理。""}","候选人编号：R0009。教育背景：本科。工作经验：4 年。目标岗位：python自动化测试。核心技能：Python、Java、接口自动化测试、持续集成与部署、测试报告分析、数据分析、接口测试、问题定位、版本管理。项目经历：参与 python自动化测试 相关项目，围绕 Python、Java、接口自动化测试、持续集成与部署、测试报告分析 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CC508620120J40895868812.htm","2026-06-18T10:42:49Z"
"R0010","匿名候选人010","public_dataset_style","公开匿名数据集风格参考","anonymous_or_synthetic","40866497505","C/C++/JAVA/Python/大数据/AI/开发/测试（一二线城市均有岗位需求）","外企德科数字技术有限公司","软件/IT服务","深圳 龙岗","medium","中匹配","66.7","本科","1","C/C++/JAVA/Python/大数据/","C++; Python; 接口测试; 问题定位","C++; Python; C#","C++; Python","C#","[{""name"":""匿名项目A-C/C++/JAVA/Python/大数据/"",""role"":""核心成员"",""skills"":[""C++"",""Python"",""接口测试"",""问题定位""],""description"":""围绕目标岗位 C/C++/JAVA/Python/大数据/AI/开发/测试（一二线城市均有岗位需求） 的核心能力，完成需求拆解、功能实现、测试验证和文档沉淀。""},{""name"":""企业内部效率工具改造"",""role"":""参与成员"",""skills"":[""Python"",""接口测试"",""问题定位""],""description"":""参与业务流程梳理、脚本/工具开发、数据处理和问题定位，提升团队交付效率。""}]","{""company"":""匿名科技公司A"",""role"":""C/C++/JAVA/Python/大数据/"",""years"":1,""description"":""负责与 软件/IT服务 相关的研发/测试/数据处理工作，主要使用 C++、Python、接口测试、问题定位。""}","候选人编号：R0010。教育背景：本科。工作经验：1 年。目标岗位：C/C++/JAVA/Python/大数据/AI/开发/测试（一二线城市均有岗位需求）。核心技能：C++、Python、接口测试、问题定位。项目经历：参与 C/C++/JAVA/Python/大数据/ 相关项目，围绕 C++、Python、C# 完成需求分析、开发测试、问题定位与交付文档整理。该样例为匿名/合成简历，不包含真实个人身份信息。","http://www.zhaopin.com/jobdetail/CCL1480117890J40866497505.htm","2026-06-18T10:42:49Z"
